Atomic Number;Element;Symbol;Atomic Weight;Period;Group;Phase;Most Stable Crystal;Type;Ionic Radius;Atomic Radius;Electronegativity;First Ionization Potential;Density;Melting Point (K);Boiling Point (K);Isotopes;Discoverer;Year of Discovery;Specific Heat Capacity;Electron Configuration;Display Row;Display Column
1;Hydrogen;H;100.794;1;1;gas;;Nonmetal;0.012;0.79;02. Feb;135.984;0.00008988;14.175;20.28;3;Cavendish;1766;14.304;1s1;1;1
2;Helium;He;4.002.602;1;18;gas;;Noble Gas;;0.49;;245.874;0.0001785;;Apr 22;5;Janssen;1868;5.193;1s2;1;18
3;Lithium;Li;6.941;2;1;solid;bcc;Alkali Metal;0.76;02. Jan;0.98;53.917;0.534;453.85;1615;5;Arfvedson;1817;3.582;2s1;2;1
4;Beryllium;Be;9.012.182;2;2;solid;hex;Alkaline Earth Metal;0.35;01. Apr;Jan 57;93.227;Jan 85;1560.15;2742;6;Vaulquelin;1798;1.825;2s2;2;2
5;Boron;B;10.811;2;13;solid;rho;Metalloid;0.23;01. Feb;02. Apr;8.298;Feb 34;2573.15;4200;6;Gay-Lussac;1808;1.026;2s2 2p1;2;13
6;Carbon;C;120.107;2;14;solid;hex;Nonmetal;;0.91;Feb 55;112.603;2.267;3948.15;4300;7;Prehistoric;;0.709;2s2 2p2;2;14
7;Nitrogen;N;140.067;2;15;gas;;Nonmetal;0.13;0.75;03. Apr;145.341;0.0012506;63.29;77.36;8;Rutherford;1772;01. Apr;2s2 2p3;2;15
8;Oxygen;O;159.994;2;16;gas;;Nonmetal;01. Apr;0.65;Mrz 44;136.181;0.001429;50.5;90.2;8;Priestley/Scheele;1774;0.918;2s2 2p4;2;16
9;Fluorine;F;189.984.032;2;17;gas;;Halogen;01. Mrz;0.57;Mrz 98;174.228;0.001696;53.63;85.03;6;Moissan;1886;0.824;2s2 2p5;2;17
10;Neon;Ne;201.797;2;18;gas;;Noble Gas;;0.51;;215.645;0.0008999;24.703;27. Jul;8;Ramsay and Travers;1898;01. Mrz;2s2 2p6;2;18
11;Sodium;Na;2.298.976.928;3;1;solid;bcc;Alkali Metal;1;02. Feb;0.93;51.391;0.971;371.15;1156;7;Davy;1807;1.228;3s1;3;1
